dataset,pos_enc,test_accuracy,val_accs,train_loss
CLIQUE,diffusion,0.6491,"[0.2375, 0.6225, 0.5975, 0.565, 0.525, 0.59, 0.615, 0.62, 0.62, 0.6275, 0.6375, 0.6575, 0.655, 0.6625, 0.6625, 0.6675]","[1.3932, 0.874, 0.8543, 0.8338, 0.8019, 0.7877, 0.7499, 0.7353, 0.7134, 0.7057, 0.695, 0.6816, 0.6762, 0.669, 0.6654, 0.6625]"
CLIQUE,pstep,0.6717,"[0.23, 0.63, 0.59, 0.6475, 0.645, 0.63, 0.6375, 0.645, 0.64, 0.6325, 0.64, 0.6525, 0.665, 0.62, 0.635, 0.6275]","[1.3927, 0.8551, 0.7647, 0.7353, 0.689, 0.65, 0.6239, 0.5796, 0.5546, 0.5303, 0.511, 0.5236, 0.4975, 0.5024, 0.4912, 0.4806]"
CLIQUE,adj,0.6967,"[0.2675, 0.5575, 0.5125, 0.5875, 0.63, 0.6425, 0.66, 0.675, 0.6925, 0.69, 0.6925, 0.6625, 0.66, 0.6725, 0.6725, 0.675]","[1.3925, 0.8327, 0.746, 0.7045, 0.6532, 0.6372, 0.6177, 0.5981, 0.577, 0.5632, 0.5506, 0.5303, 0.5198, 0.5279, 0.519, 0.5133]"
CLIQUE,shortest_path,0.6692,"[0.38, 0.5975, 0.4775, 0.5825, 0.6, 0.62, 0.6325, 0.6225, 0.645, 0.6325, 0.6325, 0.6325, 0.6425, 0.64, 0.65, 0.645]","[1.3928, 0.8759, 0.8496, 0.7757, 0.7575, 0.7574, 0.7283, 0.7339, 0.6995, 0.6904, 0.679, 0.6729, 0.669, 0.6626, 0.6588, 0.6556]"
CLIQUE,graphlet,0.604,"[0.24, 0.5525, 0.3925, 0.5825, 0.4125, 0.6175, 0.6175, 0.6225, 0.6075, 0.6175, 0.6075, 0.61, 0.6125, 0.605, 0.6025, 0.6025]","[1.3926, 0.8808, 0.8417, 0.8321, 0.8397, 0.8166, 0.8018, 0.8028, 0.7858, 0.7806, 0.7782, 0.7683, 0.7636, 0.7592, 0.7571, 0.7539]"
CLIQUE,coloring,0.6717,"[0.32, 0.575, 0.495, 0.475, 0.62, 0.63, 0.615, 0.615, 0.64, 0.6175, 0.6275, 0.6275, 0.64, 0.64, 0.64, 0.6325]","[1.3928, 0.8686, 0.8126, 0.7825, 0.7799, 0.7429, 0.7014, 0.7023, 0.6752, 0.6589, 0.6602, 0.6401, 0.6342, 0.6322, 0.6248, 0.6196]"
CLIQUE,no,0.6316,"[0.2375, 0.555, 0.4225, 0.6, 0.605, 0.6025, 0.5925, 0.6, 0.6225, 0.6175, 0.605, 0.6, 0.6, 0.6, 0.6, 0.6025]","[1.3925, 0.8712, 0.848, 0.8449, 0.8369, 0.8298, 0.8111, 0.8041, 0.796, 0.7911, 0.7883, 0.7825, 0.7789, 0.7775, 0.7742, 0.7717]"
CLIQUE,estrada,0.6391,"[0.24, 0.59, 0.5075, 0.6075, 0.605, 0.59, 0.6175, 0.6125, 0.605, 0.615, 0.6125, 0.6175, 0.6225, 0.6275, 0.6325, 0.6325]","[1.3926, 0.8727, 0.8464, 0.8236, 0.8141, 0.7992, 0.7849, 0.772, 0.7476, 0.7393, 0.7318, 0.721, 0.7148, 0.7059, 0.7025, 0.6997]"
CLIQUE,cosine,0.2657,"[0.23, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245]","[1.3939, 1.3867, 1.3865, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3863, 1.3863, 1.3863, 1.3863, 1.3863]"
CLIQUE,clustering_coefficient,0.6466,"[0.245, 0.5825, 0.5125, 0.585, 0.565, 0.62, 0.615, 0.615, 0.6175, 0.6225, 0.62, 0.62, 0.615, 0.6275, 0.6275, 0.625]","[1.3926, 0.8854, 0.8615, 0.837, 0.8335, 0.8324, 0.8211, 0.8179, 0.8179, 0.8174, 0.8171, 0.8145, 0.8142, 0.8126, 0.8118, 0.8115]"
CLIQUE,betweenness_centrality,0.6241,"[0.245, 0.6275, 0.5575, 0.5875, 0.59, 0.605, 0.6175, 0.6225, 0.6125, 0.615, 0.6175, 0.6225, 0.62, 0.625, 0.6225, 0.6225]","[1.3924, 0.8926, 0.8618, 0.8384, 0.8387, 0.8359, 0.8217, 0.8192, 0.8163, 0.8163, 0.8144, 0.8118, 0.8113, 0.8093, 0.8086, 0.8084]"
BIPARTITE,diffusion,0.9373,"[0.8175, 0.83, 0.8825, 0.92, 0.93, 0.9225, 0.935, 0.9375, 0.9425, 0.9525, 0.945, 0.9575, 0.955, 0.945, 0.945, 0.945]","[0.5277, 0.3155, 0.286, 0.209, 0.1588, 0.1509, 0.1272, 0.1186, 0.1079, 0.1017, 0.1104, 0.0903, 0.0843, 0.0799, 0.0763, 0.0729]"
BIPARTITE,pstep,0.9975,"[0.83, 0.9725, 0.9725, 0.9775, 0.9975, 0.995, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9975, 1.0, 1.0, 0.9975, 0.9975]","[0.5309, 0.072, 0.0379, 0.0252, 0.0242, 0.0415, 0.0086, 0.023, 0.0031, 0.0018, 0.0003, 0.0001, 0.0002, 0.0001, 0.0001, 0.0]"
BIPARTITE,adj,0.9825,"[0.83, 0.96, 0.975, 0.9875, 0.985, 0.995, 0.995, 1.0, 0.9975, 0.9975, 0.9975, 0.9975, 0.995, 0.9975, 1.0, 1.0]","[0.5285, 0.0823, 0.0446, 0.015, 0.0174, 0.014, 0.0129, 0.0092, 0.0092, 0.0056, 0.0041, 0.0029, 0.0014, 0.0005, 0.0003, 0.0002]"
BIPARTITE,shortest_path,0.9323,"[0.785, 0.855, 0.885, 0.915, 0.8975, 0.8725, 0.9275, 0.9375, 0.935, 0.9325, 0.9275, 0.94, 0.94, 0.9375, 0.9375, 0.9425]","[0.5377, 0.2905, 0.2251, 0.1751, 0.1969, 0.1682, 0.1391, 0.1379, 0.114, 0.1077, 0.0999, 0.0925, 0.0922, 0.0855, 0.0824, 0.0802]"
BIPARTITE,graphlet,0.9123,"[0.795, 0.7675, 0.8175, 0.84, 0.8375, 0.845, 0.8825, 0.8975, 0.92, 0.925, 0.93, 0.9075, 0.9075, 0.91, 0.91, 0.9075]","[0.5333, 0.3454, 0.3254, 0.302, 0.2981, 0.272, 0.1964, 0.1789, 0.1651, 0.1632, 0.1606, 0.1531, 0.1516, 0.1482, 0.1474, 0.1465]"
BIPARTITE,coloring,0.9549,"[0.8075, 0.8525, 0.9025, 0.915, 0.885, 0.915, 0.955, 0.9525, 0.965, 0.9575, 0.9575, 0.95, 0.9525, 0.955, 0.9575, 0.96]","[0.5306, 0.2149, 0.1531, 0.1372, 0.1332, 0.1249, 0.0926, 0.0838, 0.0675, 0.0593, 0.0502, 0.0431, 0.038, 0.0351, 0.0329, 0.0315]"
BIPARTITE,no,0.8396,"[0.775, 0.77, 0.8175, 0.8225, 0.83, 0.8425, 0.8325, 0.835, 0.8375, 0.8375, 0.8375, 0.845, 0.845, 0.845, 0.845, 0.8475]","[0.5277, 0.3512, 0.3268, 0.2996, 0.2959, 0.3009, 0.2865, 0.286, 0.2778, 0.2759, 0.2749, 0.2721, 0.2714, 0.2694, 0.2689, 0.2685]"
BIPARTITE,estrada,0.8246,"[0.635, 0.745, 0.81, 0.8075, 0.805, 0.8, 0.8125, 0.8075, 0.7975, 0.7975, 0.7975, 0.8025, 0.8025, 0.8075, 0.81, 0.81]","[0.5528, 0.3957, 0.3844, 0.3582, 0.3537, 0.4151, 0.3534, 0.345, 0.3403, 0.3381, 0.3345, 0.329, 0.328, 0.3254, 0.3253, 0.3247]"
BIPARTITE,cosine,0.8045,"[0.475, 0.81, 0.8175, 0.8275, 0.825, 0.835, 0.83, 0.83, 0.8225, 0.825, 0.825, 0.8225, 0.82, 0.8275, 0.8275, 0.8275]","[0.6987, 0.3259, 0.3172, 0.3061, 0.3044, 0.3001, 0.2937, 0.2924, 0.287, 0.2865, 0.286, 0.2841, 0.2835, 0.2824, 0.2821, 0.2819]"
BIPARTITE,clustering_coefficient,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.083, 0.0031, 0.003, 0.0028, 0.0028, 0.0028, 0.0027, 0.0027, 0.0027, 0.0027, 0.0027, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026]"
BIPARTITE,betweenness_centrality,0.8596,"[0.74, 0.8325, 0.795, 0.84, 0.84, 0.84, 0.8575, 0.855, 0.8525, 0.855, 0.8575, 0.8575, 0.8575, 0.855, 0.855, 0.855]","[0.5312, 0.3284, 0.3135, 0.2908, 0.2874, 0.286, 0.2763, 0.2746, 0.2678, 0.2669, 0.2659, 0.2639, 0.2634, 0.2614, 0.2611, 0.2608]"
CYCLE,diffusion,0.7469,"[0.16, 0.42, 0.46, 0.53, 0.58, 0.585, 0.665, 0.6925, 0.6875, 0.7125, 0.6975, 0.735, 0.7375, 0.745, 0.745, 0.7475]","[1.7984, 1.3228, 1.1271, 1.0283, 0.9598, 0.8494, 0.737, 0.6411, 0.5617, 0.5175, 0.4898, 0.4663, 0.4528, 0.4401, 0.4289, 0.4205]"
CYCLE,pstep,0.1529,"[0.17, 0.15, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025]","[1.7991, 1.7922, 1.792, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918]"
CYCLE,adj,0.6667,"[0.17, 0.375, 0.33, 0.37, 0.1775, 0.555, 0.695, 0.705, 0.7125, 0.7025, 0.7, 0.7125, 0.7125, 0.7125, 0.7075, 0.7]","[1.7986, 1.3726, 1.5992, 1.3195, 1.6638, 1.0138, 0.9317, 0.8618, 0.8079, 0.7857, 0.7739, 0.7491, 0.7404, 0.7339, 0.7298, 0.7251]"
CYCLE,shortest_path,0.8647,"[0.17, 0.31, 0.2825, 0.73, 0.3325, 0.6925, 0.7075, 0.75, 0.7675, 0.8175, 0.8225, 0.83, 0.84, 0.845, 0.8475, 0.8475]","[1.7992, 1.5851, 1.9579, 0.8471, 1.4134, 0.8319, 0.7365, 0.5667, 0.5032, 0.4717, 0.4535, 0.4088, 0.3947, 0.3745, 0.3692, 0.3593]"
CYCLE,graphlet,0.4236,"[0.235, 0.3425, 0.285, 0.37, 0.4225, 0.4225, 0.445, 0.4425, 0.4275, 0.4425, 0.4325, 0.4325, 0.4475, 0.445, 0.455, 0.47]","[1.771, 1.4563, 1.5448, 1.4451, 1.4009, 1.3679, 1.343, 1.3232, 1.2969, 1.2807, 1.2653, 1.2453, 1.2317, 1.2127, 1.1984, 1.1845]"
CYCLE,coloring,0.4236,"[0.16, 0.3225, 0.415, 0.425, 0.43, 0.435, 0.45, 0.44, 0.4275, 0.445, 0.4575, 0.4475, 0.45, 0.4625, 0.4725, 0.4675]","[1.7987, 1.541, 1.3848, 1.3207, 1.3009, 1.2859, 1.2677, 1.2571, 1.2474, 1.2389, 1.2375, 1.2274, 1.2229, 1.2186, 1.2166, 1.2148]"
CYCLE,no,0.2206,"[0.16, 0.28, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025, 0.2025]","[1.7991, 1.7908, 1.7919, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918, 1.7918]"
CYCLE,estrada,0.3759,"[0.165, 0.1475, 0.1775, 0.1525, 0.355, 0.4, 0.41, 0.4375, 0.435, 0.4225, 0.4325, 0.39, 0.395, 0.385, 0.3875, 0.39]","[1.799, 1.791, 1.7884, 1.7845, 1.5749, 1.4305, 1.3537, 1.3106, 1.2674, 1.2483, 1.232, 1.2174, 1.2097, 1.2047, 1.1987, 1.1951]"
CYCLE,cosine,0.2907,"[0.17, 0.3475, 0.35, 0.335, 0.3325, 0.31, 0.31, 0.3075, 0.3125, 0.3225, 0.32, 0.32, 0.3275, 0.3275, 0.3275, 0.3275]","[1.8003, 1.5676, 1.5111, 1.5002, 1.4977, 1.4956, 1.4914, 1.4909, 1.4888, 1.4884, 1.488, 1.4872, 1.487, 1.4863, 1.4862, 1.4861]"
CYCLE,clustering_coefficient,0.3283,"[0.325, 0.325, 0.3175, 0.33, 0.33, 0.33, 0.33, 0.3325, 0.3325, 0.335, 0.34, 0.345, 0.345, 0.345, 0.345, 0.345]","[1.7365, 1.5409, 1.534, 1.508, 1.5033, 1.499, 1.4943, 1.4916, 1.4878, 1.4864, 1.4849, 1.4835, 1.4829, 1.482, 1.4817, 1.4815]"
CYCLE,betweenness_centrality,0.3383,"[0.2125, 0.375, 0.3625, 0.3425, 0.345, 0.36, 0.3475, 0.35, 0.355, 0.36, 0.36, 0.3475, 0.35, 0.3475, 0.35, 0.3525]","[1.7705, 1.5188, 1.4823, 1.4701, 1.4669, 1.4649, 1.4608, 1.4585, 1.4567, 1.4559, 1.4549, 1.4544, 1.454, 1.4534, 1.4532, 1.453]"
